2025-10-29 19:51:01,858 - NPM_Analyzer - INFO - Fetching metadata for '@next/swc-linux-x64-musl'...
2025-10-29 19:51:02,384 - NPM_Analyzer - INFO - Found 2104 versions. Starting download into 'temp/@next_swc-linux-x64-musl'...
2025-10-29 21:50:28,829 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.83: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.83.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377e578910>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,831 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.84: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.84.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377e578550>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,834 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.85: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.85.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377e578190>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,836 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.86: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.86.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377e579810>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,838 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.87: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.87.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377e579bd0>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,840 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.88: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.88.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377e579f90>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,844 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.89: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.89.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5c7d0>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,846 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.90: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.90.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5e5d0>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,849 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.91: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.91.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5cb90>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,851 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.92: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.92.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5fed0>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,854 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.93: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.93.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5df90>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
